ComplexName,AmenityID,AmenityName
AMLI Frisco Crossing,9,In Unit Washer & Dryer
AMLI Frisco Crossing,10,Walk-In Closets
Estates Of Richardson,1,Dog & Cat Friendly
Estates Of Richardson,2,Fitness Center
Estates Of Richardson,3,Pool
Estates Of Richardson,14,Dishwasher
Estates Of Richardson,9,In Unit Washer & Dryer
Estates Of Richardson,19,Clubhouse
Estates Of Richardson,34,Microwave
Estates Of Richardson,31,High-Speed Internet
Bell CityLine I,1,Dog & Cat Friendly
Bell CityLine I,2,Fitness Center
Bell CityLine I,3,Pool
Bell CityLine I,15,Refrigerator
Bell CityLine I,9,In Unit Washer & Dryer
Bell CityLine I,10,Walk-In Closets
Bell CityLine I,19,Clubhouse
Bell CityLine I,20,Balcony
The Lyla,1,Dog & Cat Friendly
The Lyla,2,Fitness Center
The Lyla,3,Pool
The Lyla,14,Dishwasher
The Lyla,15,Refrigerator
The Lyla,16,Kitchen
The Lyla,9,In Unit Washer & Dryer
The Lyla,10,Walk-In Closets
Dallas North Park,1,Dog & Cat Friendly
Dallas North Park,2,Fitness Center
Dallas North Park,3,Pool
Dallas North Park,14,Dishwasher
Dallas North Park,15,Refrigerator
Dallas North Park,16,Kitchen
Dallas North Park,9,In Unit Washer & Dryer
Dallas North Park,10,Walk-In Closets
Essence North Dallas,1,Dog & Cat Friendly
Essence North Dallas,3,Pool
Essence North Dallas,9,In Unit Washer & Dryer
Essence North Dallas,23,Maintenance on site
Essence North Dallas,5,Controlled Access
Essence North Dallas,36,Basketball Court
Inkwell Watters Creek,1,Dog & Cat Friendly
Inkwell Watters Creek,2,Fitness Center
Inkwell Watters Creek,3,Pool
Inkwell Watters Creek,14,Dishwasher
Inkwell Watters Creek,15,Refrigerator
Inkwell Watters Creek,16,Kitchen
Inkwell Watters Creek,9,In Unit Washer & Dryer
Inkwell Watters Creek,10,Walk-In Closets
Origin at Frisco Bridges,1,Dog & Cat Friendly
Origin at Frisco Bridges,2,Fitness Center
Origin at Frisco Bridges,3,Pool
