Name,Website,Address,Price
The Lydian,https://www.apartments.com/the-lydian-plano-tx/45wnvwj/,"2821 Townbluff Dr, Plano, TX 75075","$1,225 - 1,563"
Gateway Crossing Apartments,https://www.apartments.com/gateway-crossing-apartments-plano-tx/he7llw2/,"380 Vista Court Dr, Plano, TX 75074","$1,345 - 1,971"
Carrington Park,https://www.apartments.com/carrington-park-plano-tx/2345b49/,"3001 Communications Pky, Plano, TX 75093","$1,309 - 2,571"
Aura One90,https://www.apartments.com/aura-one90-plano-tx/hvcn7g1/,"680 Executive Dr, Plano, TX 75074","$1,329 - 2,299"
Langdon at Spring Creek,https://www.apartments.com/langdon-at-spring-creek-plano-tx/snbgy36/,"6501 Independence Pky, Plano, TX 75023","$1,351 - 3,027"
Custer Park,https://www.apartments.com/custer-park-plano-tx/zqrwvdy/,"3400 Custer Rd, Plano, TX 75023","$1,208 - 1,796"
Windsor Metro West,https://www.apartments.com/windsor-metro-west-plano-tx/7y5qvsx/,"8055 Windrose Ave, Plano, TX 75024","$1,735 - 3,332"
MAA Los Rios,https://www.apartments.com/maa-los-rios-plano-tx/de1885l/,"4701 14th St, Plano, TX 75074","$1,348 - 3,073"
The Leighton,https://www.apartments.com/the-leighton-plano-tx/415wcth/,"1717 Independence Pky, Plano, TX 75075","$1,236 - 1,425"
Greenbriar Apartments,https://www.apartments.com/greenbriar-apartments-plano-tx/8wn7ey0/,"1901 W Spring Creek Pky, Plano, TX 75023","$1,038 - 1,280"
Cross Creek,https://www.apartments.com/cross-creek-plano-tx/hdmgh21/,"7401 Alma Dr, Plano, TX 75025","$1,127 - 1,207"
K Avenue Lofts,https://www.apartments.com/k-avenue-lofts-plano-tx/ggxpcjz/,"2505 K Ave, Plano, TX 75074","$1,030"
The Pradera,https://www.apartments.com/the-pradera-richardson-tx/gvs4d9z/,"851 Greenside Dr, Richardson, TX 75080","$1,602 - 2,426"
The Montgomery,https://www.apartments.com/the-montgomery-allen-tx/0srrrs0/,"1280 Montgomery Blvd, Allen, TX 75013","$1,552 - 2,310"
Wylder Square,https://www.apartments.com/wylder-square-carrollton-tx/q3rknez/,"4141 Midway Rd, Carrollton, TX 75007","$1,582 - 2,617"
Foundation at Cityline,https://www.apartments.com/foundation-at-cityline-richardson-tx/ebnbv8m/,"601 Renner Rd, Richardson, TX 75080","$1,253 - 1,355"
Avenues at Carrollton,https://www.apartments.com/avenues-at-carrollton-carrollton-tx/my1k40h/,"4689 Mustang Pky, Carrollton, TX 75010","$1,400 - 1,800"
Windsor Mustang Park,https://www.apartments.com/windsor-mustang-park-carrollton-tx/pk25p8v/,"4645 Plano Pky, Carrollton, TX 75010","$1,360 - 2,833"
Windsor CityLine,https://www.apartments.com/windsor-cityline-richardson-tx/7k3p8nw/,"1250 Hunt St, Richardson, TX 75082","$1,555 - 2,831"
